OrderID,ReturnDate,ProductID,ReturnQuantity,ReturnReason,RefundValue,ReturnCost
O508563,2025-11-08,P2043,2,Damaged,113.84,72.36
O508605,2025-06-21,P2079,1,Size/Fit,150.73,79.61
O508660,2026-05-14,P2059,1,Size/Fit,192.13,78.08
O508673,2025-09-09,P2020,1,Quality Issue,147.84,99.78
O508707,2026-07-10,P2039,1,Size/Fit,225.55,92.05
O508719,2025-09-05,P2008,1,Quality Issue,126.24,67.61
O508775,2026-03-16,P2023,1,Size/Fit,207.17,102.93
O508786,2026-02-19,P2075,1,Size/Fit,125.61,52.99
O508800,2025-05-04,P2005,1,Changed Mind,39.38,24.92
O508834,2025-04-09,P2078,2,Changed Mind,303.8,165.48
O508867,2025-06-05,P2027,1,Changed Mind,103.84,43.01
O508878,2026-06-24,P2067,1,Changed Mind,177.38,92.98
O508883,2025-03-07,P2051,2,Changed Mind,112.5,45.68
O508884,2025-07-04,P2029,2,Changed Mind,111.08,65.4
O508904,2025-03-18,P2072,1,Size/Fit,152.66,89.35
O508927,2025-02-22,P2079,1,Changed Mind,150.73,79.61
O508936,2025-12-16,P2075,1,Changed Mind,125.61,52.99
O508951,2025-04-16,P2049,1,Changed Mind,173.14,79.14
O509005,2025-05-12,P2006,1,Changed Mind,200.16,94.33
O509017,2026-07-05,P2040,1,Quality Issue,112.16,49.74
O509023,2026-02-02,P2055,1,Size/Fit,29.55,18.44
O509088,2025-03-15,P2042,1,Changed Mind,43.17,24.86
O509139,2025-12-16,P2042,1,Size/Fit,43.17,24.86
O509158,2025-08-10,P2071,1,Wrong Item,202.22,75.84
O509159,2026-02-08,P2054,1,Damaged,50.24,22.92
O509163,2025-01-21,P2006,1,Wrong Item,200.16,94.33
O509164,2025-03-04,P2042,1,Quality Issue,43.17,24.86
O509173,2025-11-06,P2071,1,Changed Mind,202.22,75.84
O509176,2026-05-07,P2054,1,Size/Fit,50.24,22.92
O509178,2026-01-01,P2022,1,Damaged,79.46,43.19
O509239,2025-06-11,P2057,1,Wrong Item,53.8,28.05
O509286,2026-06-23,P2074,1,Damaged,130.38,64.03
O509301,2025-07-22,P2012,1,Damaged,250.58,95.0
O509334,2025-02-21,P2048,1,Wrong Item,65.12,29.51
O509359,2026-07-01,P2056,1,Quality Issue,29.13,15.68
O509364,2026-05-10,P2064,1,Damaged,194.3,96.32
O509378,2025-12-14,P2043,1,Changed Mind,56.92,37.93
O509389,2026-02-24,P2035,1,Size/Fit,85.13,36.54
O509431,2025-07-15,P2050,1,Wrong Item,83.27,51.12
O509456,2025-01-29,P2030,1,Wrong Item,160.67,84.94
O509457,2025-05-30,P2039,2,Size/Fit,451.1,180.6
O509473,2025-11-22,P2051,1,Quality Issue,56.25,24.59
O509497,2026-02-01,P2042,1,Size/Fit,43.17,24.86
O509507,2026-02-19,P2074,1,Changed Mind,130.38,64.03
O509508,2025-11-21,P2058,1,Changed Mind,124.87,59.81
O509524,2026-07-03,P2057,1,Quality Issue,53.8,28.05
O509535,2025-10-13,P2003,1,Damaged,246.21,107.36
O509538,2025-04-28,P2022,1,Changed Mind,79.46,43.19
O509635,2026-02-24,P2072,1,Damaged,152.66,89.35
O509682,2025-02-27,P2069,1,Changed Mind,175.87,94.13
O509716,2025-06-19,P2024,1,Changed Mind,85.56,42.14
O509725,2025-02-15,P2028,1,Changed Mind,76.08,52.71
O509762,2025-04-24,P2069,2,Size/Fit,351.74,184.76
O509764,2026-07-19,P2029,2,Damaged,111.08,65.4
O509779,2025-12-08,P2073,1,Changed Mind,278.8,107.03
O509783,2026-04-27,P2027,1,Quality Issue,103.84,43.01
O509786,2026-03-02,P2037,1,Wrong Item,42.14,22.93
O509813,2025-06-03,P2066,1,Wrong Item,45.94,24.73
O509818,2025-01-29,P2058,1,Damaged,124.87,59.81
O509838,2025-08-09,P2076,2,Damaged,306.72,192.16
O509869,2025-06-10,P2059,1,Quality Issue,192.13,78.08
O509871,2025-12-23,P2071,2,Quality Issue,404.44,148.18
O509878,2025-10-11,P2011,1,Changed Mind,43.62,29.09
O509897,2026-03-20,P2037,1,Size/Fit,42.14,22.93
O509910,2025-12-03,P2048,1,Quality Issue,65.12,29.51
O509911,2026-01-29,P2002,2,Changed Mind,122.24,75.82
O509966,2026-02-03,P2006,1,Changed Mind,200.16,94.33
O510020,2025-03-19,P2026,1,Wrong Item,63.53,29.38
O510044,2026-07-12,P2024,2,Damaged,171.12,80.78
O510066,2026-06-19,P2002,1,Damaged,61.12,39.66
O510067,2025-02-27,P2024,1,Changed Mind,85.56,42.14
O510073,2025-09-16,P2026,1,Damaged,63.53,29.38
O510098,2025-12-13,P2071,1,Size/Fit,202.22,75.84
O510104,2025-11-06,P2073,1,Quality Issue,278.8,107.03
O510106,2025-09-20,P2022,1,Size/Fit,79.46,43.19
O510130,2025-11-16,P2009,1,Damaged,195.13,92.53
O510152,2025-03-14,P2065,1,Damaged,160.54,77.72
O510159,2026-05-15,P2038,1,Damaged,100.85,65.48
O510178,2025-09-16,P2029,1,Size/Fit,55.54,34.45
O510185,2025-11-18,P2053,1,Size/Fit,175.96,99.23
O510231,2026-05-01,P2031,1,Quality Issue,117.07,58.03
O510240,2025-11-02,P2025,1,Size/Fit,149.3,63.12
O510281,2025-11-09,P2053,1,Wrong Item,175.96,99.23
O510298,2025-05-23,P2010,1,Changed Mind,212.84,109.08
O510313,2026-05-10,P2072,1,Size/Fit,152.66,89.35
O510318,2026-05-05,P2062,1,Size/Fit,151.88,73.21
O510321,2026-06-16,P2009,1,Quality Issue,195.13,92.53
O510330,2025-05-11,P2036,1,Size/Fit,186.92,83.07
O510358,2025-01-28,P2078,1,Damaged,151.9,84.49
O510382,2026-01-09,P2038,1,Changed Mind,100.85,65.48
O510387,2026-03-27,P2039,1,Size/Fit,225.55,92.05
O510404,2025-02-26,P2039,1,Changed Mind,225.55,92.05
O510421,2025-09-09,P2079,1,Quality Issue,150.73,79.61
